Votes,VotedBy,Name,Grade,GradeNumeric,InFinland,AreaLevel1,AreaLevel2,AreaLevel3,Crag,ApproximateCoordinates,Coordinates,Latitude,Longitude,Url27crags,UrlVideo,UrlStory,MainProfiles,MainHoldTypes,MainSkillsNeeded,Adjectives,Comments
7,Male,Kun Jari koskee,7A,14,Yes,Uusimaa,Helsinki,Sipoo,Uusi Sipoo,No,"60.311802,25.249057",60.311802,25.249057,https://27crags.com/crags/uusi-sipoo/routes/kun-jari-koskee,https://www.youtube.com/watch?v=wSGGKyzgbIc,,"kantti (arête),kompressio,pysty (wall)","reuna/kantti (edge/ledge),slouppi (sloper)","huukkaus (hook),keskivartalo (core),kompressio (compression),liikkuvuus (mobility),psyykkinen vahvuus  (mental strength),tasapaino (balance),tekniikka (technique)","erillainen,halattava,herkkää,hieno,hienoa,houkutteleva,hyvä,kaunis,komea,kompressio,kompressiota,paras,pehmeä,tasapainoinen,tekninen,upea,ylpeä","""Parasta kiveä Suomessa"",""Pala fontsua Suomessa"",""Vaatii keskittymistä sekä taitoa"",""tosi hyvää kiveä ,hienot muuvit, kivan näköinen"",""Kivenlaatu kuin fontsu."",""TIMANTTISTA KIVEÄ, HAUSKOJA MUUVEJA. EI LIAAN VAIKEAA TAI VAKAVAMIELISTÄ VÄÄNTÄMISTÄ."""
6,Male,Ruoska,7A,14,Yes,Pirkanmaa,Tampere,Tampere,Tahmela boulder park,No,"61.496876,23.710682",61.496876,23.710682,https://27crags.com/crags/tahmela-boulder-park/routes/ruoska-10567,https://vimeo.com/109491102,,"hänkki (overhang),kantti (arête),pysty (wall)","gastoni (gaston),kahva (jug),krimppi (crimp),poketti (pocket),reuna/kantti (edge/ledge),slouppi (sloper),underi (undercling)","keskivartalo (core),kompressio (compression),liikkuvuus (mobility),psyykkinen vahvuus  (mental strength),sormivoima (finger strength),tasapaino (balance),tekniikka (technique)","herkkä,kaunis,klassinen,korkea,kuumottava,monipuolinen,selkeä,tekninen,voimakas","""Tasaisen haastava ja poikkeuksellisen korkea (tampereen alueella). Hienot muuvit, useita minikrukseja"",""Hienon hieno pystysuora haaste. Hyvä kivenlaatu, selkeät mutta vaikeat muuvit. Jokaiselle kehotyypille omat haasteensa eikä millään ominaisuudella voi huijata."",""Kaunis klassinen linja."""
3,Male,Supermartikainen,7C,18,Yes,Ahvenanmaan maalaiskunta,Geta,,Djupviksgrottorna,No,"60.401355,19.831726",60.401355,19.831726,https://27crags.com/crags/grottan/routes/supermartikainen,https://vimeo.com/178237446,,"hänkki (overhang),kantti (arête)","krimppi (crimp),reuna/kantti (edge/ledge),slouppi (sloper)","huukkaus (hook),keskivartalo (core),kompressio (compression),liikkuvuus (mobility),voima (power)","haastava,hieno,hänkki,kaunis,kompressio,upea,voimahali","""Klassikkoreitti"",""Puhdas linja."",""hienon näköinen, tosi kivat muuvit (pikkasen morpho)"""
3,Both,Puerto Rico,6C,12,Yes,Ahvenanmaan maalaiskunta,Geta,,Fågelberget,No,"60.413026,19.835325",60.413026,19.835325,https://27crags.com/crags/fagelberget/routes/puerto-rico,https://vimeo.com/74195080,,"pysty (wall),släbi (slab)","krimppi (crimp),reuna/kantti (edge/ledge),slouppi (sloper),underi (undercling)","huukkaus (hook),liikkuvuus (mobility),mantteli (mantel),psyykkinen vahvuus  (mental strength),tasapaino (balance),tekniikka (technique)","herkkä,jännä,kaunis,kiva,kuumottava,mantteli,pikku,päätähuimaava,tekninen","""Reitti ehkä suomen kauneimmalla boulder-kivellä. Erityisen herkkä ja hieno reitti"",""Sijainti omaa luokkaansa Fågelbergetissä, kaunis paikka."""
3,Male,Kaljala,6A+,9,Yes,Kanta-Häme,Hämeenlinna,Hämeenlinna,Taljala,No,"61.076313,24.034807",61.076313,24.034807,https://27crags.com/crags/taljala/routes/kaljala,https://www.youtube.com/watch?v=ZUyth-IXZX4,,"hänkki (overhang),pysty (wall)","kahva (jug),krimppi (crimp),pinchi (pinch),reuna/kantti (edge/ledge),slouppi (sloper)","dyno (dyno),huukkaus (hook),keskivartalo (core),sormivoima (finger strength),tekniikka (technique),voima (power)","hankki,jatkuva,karhea,otteikas,terävä,uniikki,visuaalinen,voimallinen ja kaunis","""Hieno, jatkuva pätkä hyvillä otteilla ja muuveilla."""
2,Male,Hottentotti,8A,20,Yes,Uusimaa,,,,Yes,"60.169856,24.938379",60.169856,24.938379,https://27crags.com/crags/myllis/routes/hottentotti,https://www.youtube.com/watch?v=bmcW3HWqjhc,,hänkki (overhang),"kahva (jug),krimppi (crimp),pinchi (pinch),slouppi (sloper)","dyno (dyno),huukkaus (hook),keskivartalo (core),kompressio (compression),liikkuvuus (mobility),psyykkinen vahvuus  (mental strength),sormivoima (finger strength),tekniikka (technique),voima (power)","klassikko,märkä,raastava,rehellinen,voimallinen,voittamaton","""Hermoja raastava ja rankaisee heti, kun teet virheen."""
2,Male,Long running funk,8A,20,Yes,Etelä-Savo,,,,Yes,"61.688727,27.272146",61.688727,27.272146,https://27crags.com/crags/roof-x/routes/long-running-funk,https://vimeo.com/224514202,,"katto (roof),pysty (wall)","kahva (jug),krimppi (crimp),pinchi (pinch),slouppi (sloper),underi (undercling)","huukkaus (hook),keskivartalo (core),kestävyys (endurance),kompressio (compression),sormivoima (finger strength),tekniikka (technique),voima (power)",",jylhä,jyrkkä,kaunis,uniikki","""Hyvät muuvit, Suomessa harvinaista kattiloiden lyö Suomen kauneimmalle kiipeilypäivän."""
2,Male,Timantit ovat ikuisia,8A,20,Yes,Pirkanmaa,Tampere,Nokia,Pinsiö Ykkönen (Korpijärvi),No,"61.533736,23.490055",61.533736,23.490055,https://27crags.com/crags/pinsio-ykkonen-korpijarvi/routes/timantit-ovat-ikuisia,https://vimeo.com/129207500,,pysty (wall),krimppi (crimp),"keskivartalo (core),kestävyys (endurance),psyykkinen vahvuus  (mental strength),sormivoima (finger strength),tasapaino (balance),tekniikka (technique),voima (power)","fyysinen,kirpeitäkrimppejä,psyykkinen,silmiähivelevä,uljaskomiakaunis","""Selkeä linja, selkeillä otteilla. Tosi hieno linja, jossa hyvät moovit. Kirsikkana kakun päällä ilmava toppaus, joka on semihaastava."""
2,Male,Kompressöör,7C,18,Yes,Uusimaa,Helsinki,Sipoo,Uusi Sipoo,No,"60.314634,25.243150",60.314634,25.24315,https://27crags.com/crags/uusi-sipoo/routes/kompressoor,https://www.youtube.com/watch?v=GpKmlCoPpr8,,"hänkki (overhang),kantti (arête),pysty (wall),släbi (slab)",slouppi (sloper),"huukkaus (hook),keskivartalo (core),kompressio (compression),liikkuvuus (mobility),tasapaino (balance),tekniikka (technique)","herkkä,monipuolinen,tasapainottelu,voima","""Monipuolinen"""
2,Male,Herkules,7B+,17,Yes,Keski-Suomi,Jyväskylä,Jyväskylä,Herkules,No,"62.100899,25.774500",62.100899,25.7745,https://27crags.com/crags/herkules/routes/herkules,https://vimeo.com/53035588,,"kantti (arête),pysty (wall)","krimppi (crimp),reuna/kantti (edge/ledge)","huukkaus (hook),kompressio (compression),psyykkinen vahvuus  (mental strength),tekniikka (technique)","hieno,kaunis,komea,korkea","""kivat muuvit, sopivan korkea ,ihan mukavat otteet."""
