Name,Grade,InFinland,Crag,ApproximateCoordinates,Coordinates,Url27crags,UrlVideo,UrlStory
360 Kickflip,6A,Yes,Djupviksgrottorna,No,"60.401326,19.831392",https://27crags.com/crags/grottan/routes/360-kickflip,https://www.youtube.com/watch?v=6S36foeNYRg,
Alcoholocaust,7B,Yes,Uusi Sipoo,No,"60.311802,25.249057",https://27crags.com/crags/uusi-sipoo/routes/alcoholocaust,https://vimeo.com/188887588,
Analstacia,7A+,Yes,Rokokallio,No,"60.484207,24.476166",https://27crags.com/crags/rokokallio/routes/analstacia,https://www.youtube.com/watch?v=w7MLCVyLTbk,
Baby Voodoo,6A+,Yes,Djupviksgrottorna,No,"60.397900,19.830299",https://27crags.com/crags/grottan/routes/baby-voodoo,https://www.youtube.com/watch?v=lQPEqkZpH6c,
Bitch slap and male pinch,6C,Yes,Itäinen Runsori,No,"63.042414,21.798677",https://27crags.com/crags/itainen-runsori/routes/bitch-slap-and-a-male-pinch,https://vimeo.com/106694182#t=1m44s,
Blackstreak Boys,7B,Yes,,Yes,"61.688727,27.272146",https://27crags.com/crags/hyttysjontka/routes/blackstreak-boys,,
Block Work,7A,Yes,Lappnor,No,"60.418968,26.122098",https://27crags.com/crags/lappnor/routes/block-work,https://vimeo.com/182411635#t=2m7s,
Ceasar,7C,Yes,Knummi,No,"60.119630,24.446958",https://27crags.com/crags/knummi/routes/ceasar,,
Comfort Zone,7A,Yes,Palkkivehmas,No,"61.033364,24.109727",https://27crags.com/crags/palkkivehmas/routes/comfort-zone-10460,https://vimeo.com/162333525,
Dodo,8A+,Yes,Kasviken,No,"60.369992,19.930804",https://27crags.com/crags/kasviken/routes/dodo,https://vimeo.com/11516626,
Dynamo,6C+,Yes,Haukilahti,No,"60.160404,24.764034",https://27crags.com/crags/haukilahti/routes/dynamo-9563,https://vimeo.com/157097975#t=4m20s,
Elekantti,7A,Yes,Raisio,No,"60.509822,22.160110",https://27crags.com/crags/raisio/routes/elekantti,https://www.youtube.com/watch?v=Ehz8YPsFeuc,
Elevation,6A+,Yes,Melaniemi,No,"63.079358,21.697266",https://27crags.com/crags/melaniemi/routes/elevation-129341,,
Elämä on pyyttonia,7B,Yes,Luohua,No,"64.502098,25.227200",https://27crags.com/crags/luohua/routes/elama-on-pyyttonia,,
Endless hangover,7B,Yes,,Yes,"60.169856,24.938379",https://27crags.com/crags/myllis/routes/endless-hangover,,
Enkeli,6B+,Yes,Haukilahti,No,"60.160404,24.764034",https://27crags.com/crags/haukilahti/routes/enkeli,https://vimeo.com/107602803,
Even Angel Will Fall,7A,Yes,Vuorisenpuro,No,"62.711708,27.346773",https://27crags.com/crags/vuorisenlahti/routes/even-angel-will-fall,https://vimeo.com/128850471,
Fault zone,6A,Yes,Kurttila,No,"60.174466,24.614375",https://27crags.com/crags/kurttila/routes/fault-zone,,
Feel so good to be afraid,6B+,Yes,Horha,No,"61.438844,23.379366",https://27crags.com/crags/horha/routes/vekun-proj,,
Fiilistelyn kulminaatio,7B,Yes,Ukkokivi,No,"61.439875,25.710722",https://27crags.com/crags/ukkokivi/routes/fiilistelyn-kuliminaatio,https://vimeo.com/133020771,
Finger to the bone,7B+,Yes,Halikallio,No,"61.494922,23.503940",https://27crags.com/crags/halikallio/routes/finger-to-the-bone,,
Folkhälsan,7B+,Yes,Lappnor,No,"60.413287,26.111906",https://27crags.com/crags/lappnor/routes/folkhalsan,https://vimeo.com/73079510,
Foot of the Mountain,6A+,Yes,P. vuori,No,"61.518575,23.074971",https://27crags.com/crags/p-vuori/routes/foot-of-the-mountain,,
Forte risoluto,8A,Yes,Forte,No,"62.110600,25.776300",https://27crags.com/crags/forte/routes/forte-risoluto,https://vimeo.com/15729319,
Furiosa,6B,Yes,Satulakorpi,No,"60.660733,24.701900",https://27crags.com/crags/satulakorpi/routes/furiosa,,
George,7A,Yes,Karhun lenkki,No,"61.528741,23.500234",https://27crags.com/crags/k-lenkki/routes/george-155706,,
Gipsy grooves,8A,Yes,Luolavuori,No,"60.430259,22.284683",https://27crags.com/crags/luolavuori-433/routes/gipsy-grooves,https://www.youtube.com/watch?v=snksRtwx-ug,
Gordon Gekko,6C+,Yes,El Gordon,No,"60.311624,25.445297",https://27crags.com/crags/el-gordon/routes/gordon-gekko,https://www.youtube.com/watch?v=X5WauFqm1ns,
Grand Slam,7A,Yes,Pinsiö,No,"61.527882,23.430898",https://27crags.com/crags/pinsio/routes/grand-slam,https://vimeo.com/127707483,
Hallonpingvin,6C,Yes,Djupviksgrottorna,No,"60.399831,19.830601",https://27crags.com/crags/grottan/routes/nameless-problem-2-373,https://www.youtube.com/watch?v=PW17ZrZOVLQ,
Hammas RIP,6C,Yes,Djupviksgrottorna,No,"60.399831,19.830601",https://27crags.com/crags/grottan/routes/hammas-rip,https://www.youtube.com/watch?v=21XzJaHmyT8,
