Timestamp,Suostumus,Ikä,Sukupuoli,Pituus (cm),Vaikein *ulkona* kiipeämäsi boulder,Boulderin nimi,Olen lähettänyt (kiivennyt) kyseisen boulderin,Kuvaile boulderia kolmella (3) adjektiivilla,Kuvaile boulderia omin sanoin (vapaaehtoinen),Boulderin pääprofiilit,Boulderin pääotetyypit,Boulderin kiipeämiseen vaadittavat pääkyvyt,Lisää suosikkiboulder #2,Boulderin nimi,Olen lähettänyt (kiivennyt) kyseisen boulderin,Kuvaile boulderia kolmella (3) adjektiivilla,Kuvaile boulderia omin sanoin (vapaaehtoinen),Boulderin pääprofiilit,Boulderin pääotetyypit,Boulderin kiipeämiseen vaadittavat pääkyvyt,Lisää suosikkiboulder #3,Boulderin nimi,Olen lähettänyt (kiivennyt) kyseisen boulderin,Kuvaile boulderia kolmella (3) adjektiivilla,Kuvaile boulderia omin sanoin (vapaaehtoinen),Boulderin pääprofiilit,Boulderin pääotetyypit,Boulderin kiipeämiseen vaadittavat pääkyvyt
12/17/2017 18:36:32,Kyllä,35 - 39,Mies,184,7A+,Muistipeli,Kyllä,"erilainen, kolmiulotteinen, pitkä",,"Katto (roof), Poikkari","Kahva (jug), Krimppi (crimp), Slouppi (sloper), Pinchi (pinch)","Keskivartalo (core), Huukkaus (hook), Kestävyys (endurance), Sormivoima (finger strength), Tekniikka (technique), Voima (power)",Ei,,,,,,,,,,,,,,,
12/17/2017 18:48:44,Kyllä,30 - 34,Mies,180,7B,Voodoo,Kyllä,"Tiukka, kaunis, hänkki",Siihen löyty aivan helevetin nätti sekvenssi.,"Hänkki (overhang), Katto (roof)","Krimppi (crimp), Reuna/kantti (edge/ledge), Underi (undercling)","Keskivartalo (core), Sormivoima (finger strength), Tekniikka (technique), Voima (power)",Ei,,,,,,,,,,,,,,,
12/17/2017 18:49:04,Kyllä,30 - 34,Mies,180,8A,One love,Kyllä,"Dynaaminen,Herkkä",Linjan esteettisyys ja monipuolisuus.,"Hänkki (overhang), Kantti (arête)","Krimppi (crimp), Reuna/kantti (edge/ledge)","Dyno (dyno), Huukkaus (hook), Sormivoima (finger strength)",Kyllä,Supermartikainen,Kyllä,"kompressio,hänkki,voimahali",Puhdas linja.,"Hänkki (overhang), Kantti (arête)","Krimppi (crimp), Slouppi (sloper), Reuna/kantti (edge/ledge)","Keskivartalo (core), Huukkaus (hook), Kompressio (compression), Liikkuvuus (mobility)",Kyllä,Kun Jari koskee,Kyllä,"halattava,komea,ylpeä",Kivenlaatu kuin fontsu.,"Pysty (wall), Kantti (arête)","Slouppi (sloper), Reuna/kantti (edge/ledge)","Keskivartalo (core), Huukkaus (hook), Kompressio (compression), Liikkuvuus (mobility), Tasapaino (balance)"
12/17/2017 18:53:03,Kyllä,25 - 29,Mies,190,7A,Bitch slap and male pinch,Kyllä,"kuumottava, miehekäs, korkea",,Pysty (wall),"Kahva (jug), Krimppi (crimp), Slouppi (sloper), Pinchi (pinch)","Psyykkinen vahvuus  (mental strength), Sormivoima (finger strength), Voima (power)",Kyllä,Elevation,Kyllä,"kuumottava, liukas, jännä",,"Pysty (wall), Hänkki (overhang)","Krimppi (crimp), Slouppi (sloper)","Huukkaus (hook), Psyykkinen vahvuus  (mental strength)",Kyllä,Kaljala,Kyllä,"Hankki, terävä, karhea",,"Pysty (wall), Hänkki (overhang)","Kahva (jug), Slouppi (sloper), Reuna/kantti (edge/ledge)","Dyno (dyno), Huukkaus (hook), Voima (power)"
12/17/2017 19:10:14,Kyllä,25 - 29,Mies,180,8A,Maitomies,Kyllä,"Herkkä, vaikea, klassikko",,Pysty (wall),Reuna/kantti (edge/ledge),Tasapaino (balance),Kyllä,Viimeinen Tuuttikuski,Kyllä,"Herkkä, fontsu, isoa muuvia",,Kantti (arête),Slouppi (sloper),"Huukkaus (hook), Kompressio (compression), Sormivoima (finger strength)",Ei,,,,,,,
12/17/2017 19:20:38,Kyllä,20 - 24,Mies,179,8B,Live like Makkonen,Kyllä,"Charmikas, legendaarinen ja asentohomma",,Pysty (wall),Krimppi (crimp),"Liikkuvuus (mobility), Sormivoima (finger strength), Tasapaino (balance), Tekniikka (technique)",Ei,,,,,,,,,,,,,,,
12/17/2017 19:21:24,Kyllä,35 - 39,Mies,180,8A+,Long running funk,Kyllä,"Uniikki,",,Katto (roof),"Slouppi (sloper), Pinchi (pinch)","Keskivartalo (core), Sormivoima (finger strength), Voima (power)",Ei,,,,,,,,,,,,,,,
12/17/2017 19:58:38,Kyllä,25 - 29,Mies,183,7C,Veenus,Kyllä,"Tekninen, vaihteleva, tyylikäs",,Pysty (wall),Krimppi (crimp),"Liikkuvuus (mobility), Tekniikka (technique)",Kyllä,King's goodbye,Kyllä,"Esteettinen, herkkä, upea",,Släbi (slab),"Krimppi (crimp), Reuna/kantti (edge/ledge)","Liikkuvuus (mobility), Tasapaino (balance), Tekniikka (technique)",Kyllä,King of Dogs,Kyllä,"Selkeä, Herkkä, Kuumottava",,Pysty (wall),Krimppi (crimp),"Keskivartalo (core), Kestävyys (endurance), Psyykkinen vahvuus  (mental strength), Sormivoima (finger strength)"
12/17/2017 19:59:10,Kyllä,35 - 39,Mies,181,7C,Pervertti,Kyllä,"voimaa, tekniikkaa, herkkyyttä",Lukko ja krimppi test piece,"Släbi (slab), Pysty (wall)",Krimppi (crimp),"Liikkuvuus (mobility), Sormivoima (finger strength), Tekniikka (technique), Voima (power)",Ei,,,,,,,,,,,,,,,
12/17/2017 20:52:23,Kyllä,30 - 34,Mies,176,6C,Soturiprinsessa,Kyllä,"Mahtava, herkkä, sopiva",,"Pysty (wall), Hänkki (overhang), Kantti (arête)","Kahva (jug), Krimppi (crimp), Reuna/kantti (edge/ledge)","Keskivartalo (core), Huukkaus (hook), Liikkuvuus (mobility), Mantteli (mantel), Psyykkinen vahvuus  (mental strength), Tekniikka (technique)",Ei,,,,,,,,,,,,,,,
12/17/2017 20:56:04,Kyllä,25 - 29,Nainen,170,7A,Kristallisydän,Kyllä,"Ihana, ihana, hauska",,Bulge,"Kahva (jug), Reuna/kantti (edge/ledge), Pihtipolvi","Keskivartalo (core), Tekniikka (technique)",Kyllä,360 Kickflip,Kyllä,"hauska, akrobaattinen, matala ",,Katto (roof),Kahva (jug),"Mantteli (mantel), Tekniikka (technique)",Ei,,,,,,,
12/17/2017 20:57:27,Kyllä,40 - 44,Nainen,168,6B,Undertaker,Kyllä,"Hauska, viihdyttävä, erikoinen","Aloitusote on jo kivenmuotona kutkuttava, harvoin ulkona törmää tällaisiin muotoihin. Reitin muuvit tuntuivat yksinkertaisesti hienoilta.",Pysty (wall),"Krimppi (crimp), Underi (undercling)","Liikkuvuus (mobility), Sormivoima (finger strength), Tasapaino (balance)",Ei,,,,,,,,,,,,,,,
12/17/2017 21:05:26,Kyllä,40 - 44,Mies,171,7C,Melankolia ss,Kyllä,"Voimallinen, tekninen, dynaaminen",Klassikko joka pitää jokaisen kiivetä. ,"Hänkki (overhang), Kantti (arête)","Krimppi (crimp), Slouppi (sloper)","Keskivartalo (core), Dyno (dyno), Huukkaus (hook), Sormivoima (finger strength)",Kyllä,Kompressöör,Kyllä,"Monipuolinen, tasapainottelu, voima",Monipuolinen,"Släbi (slab), Hänkki (overhang), Kantti (arête)",Slouppi (sloper),"Keskivartalo (core), Liikkuvuus (mobility), Tasapaino (balance)",Ei,,,,,,,
12/17/2017 21:09:31,Kyllä,25 - 29,Mies,180,6B+,Enkeli,Kyllä,"Helposti luettava, sakottaa virheistä, monta variaatiota","Selvät otteet, joiden kuluneisuus tekee reitistä haastavan. Monipuoliset ja herkät muuvit.","Pysty (wall), Kantti (arête)","Krimppi (crimp), Slouppi (sloper)","Keskivartalo (core), Huukkaus (hook), Psyykkinen vahvuus  (mental strength), Tekniikka (technique)",Ei,,,,,,,,,,,,,,,
12/17/2017 21:29:51,Kyllä,25 - 29,Mies,184,7B+,Tyhjä sielu,Kyllä,"Voimallinen, huukkitekninen, oterikas",Upeita moveja jatkuvalla syötöllä huikeella kivenlaadulla,Hänkki (overhang),"Kahva (jug), Krimppi (crimp), Slouppi (sloper), Reuna/kantti (edge/ledge), Underi (undercling)","Keskivartalo (core), Huukkaus (hook), Sormivoima (finger strength), Tekniikka (technique), Voima (power)",Kyllä,Block Work,Kyllä,"Tekninen, haastava, hieno",Loivalla hänkillä upeita moveja,Hänkki (overhang),"Kahva (jug), Krimppi (crimp)","Keskivartalo (core), Huukkaus (hook), Sormivoima (finger strength), Tekniikka (technique)",Kyllä,Ilmahässäkkä,Kyllä,"Dyno, kahvoja, swingi",Hyvistä otteista pitkä vaikeahko dyno ja mahdollisuus yhden käden swingiin,"Pysty (wall), Hänkki (overhang)","Kahva (jug), Slouppi (sloper)","Dyno (dyno), Psyykkinen vahvuus  (mental strength), Tekniikka (technique)"
12/17/2017 21:32:13,Kyllä,35 - 39,Mies,181,7C,Kummitusjuna assis,Ei,Pitkä korkea hieno,Ympäristö tekee boulderista täydellisen,"Pysty (wall), Hänkki (overhang), Kantti (arête)","Krimppi (crimp), Reuna/kantti (edge/ledge), Pinchi (pinch)","Huukkaus (hook), Kompressio (compression), Sormivoima (finger strength), Voima (power)",Kyllä,Dynamo,Kyllä,"Dynaaminen, lyhyt, klassikko",Se pitää kiivetä joka kevät,"Pysty (wall), Hänkki (overhang)","Kahva (jug), Krimppi (crimp)","Dyno (dyno), Voima (power)",Ei,,,,,,,
12/17/2017 21:58:12,Kyllä,35 - 39,Mies,183,8A,Long running funk,Kyllä,"Jylhä,jyrkkä,kaunis","Hyvät muuvit, Suomessa harvinaista kattiloiden lyö Suomen kauneimmalle kiipeilypäivän.","Pysty (wall), Katto (roof)","Kahva (jug), Krimppi (crimp), Slouppi (sloper), Underi (undercling)","Keskivartalo (core), Huukkaus (hook), Kestävyys (endurance), Kompressio (compression), Tekniikka (technique), Voima (power)",Kyllä,Hottentotti,Kyllä,"Rehellinen, voimallinen, raastava","Hermoja raastava ja rankaisee heti, kun teet virheen.",Hänkki (overhang),"Kahva (jug), Krimppi (crimp), Slouppi (sloper), Pinchi (pinch)","Keskivartalo (core), Dyno (dyno), Huukkaus (hook), Kompressio (compression), Psyykkinen vahvuus  (mental strength), Tekniikka (technique), Voima (power)",Kyllä,Jäätävä polte,Ei,"Uniikki, dynaaminen, herkkä",Hienot muuvit ja todella harvinainen.,"Hänkki (overhang), Kantti (arête)","Kahva (jug), Krimppi (crimp), Slouppi (sloper), Pinchi (pinch), Poketti (pocket)","Keskivartalo (core), Dyno (dyno), Huukkaus (hook), Kompressio (compression), Tasapaino (balance), Tekniikka (technique), Voima (power)"
12/17/2017 22:24:03,Kyllä,30 - 34,Mies,175,6C,Even Angel Will Fall,Ei,"Kunnioitustaherättävä, upea, jylhä",,Pysty (wall),"Krimppi (crimp), Reuna/kantti (edge/ledge), Pinchi (pinch), Underi (undercling)","Keskivartalo (core), Huukkaus (hook), Kompressio (compression), Psyykkinen vahvuus  (mental strength), Sormivoima (finger strength), Tekniikka (technique), Voima (power)",Ei,,,,,,,,,,,,,,,
12/17/2017 22:30:52,Kyllä,30 - 34,Mies,193,7C+,Reloaded assis,Kyllä,"Voimakas, dynaaminen, tekninen",,Hänkki (overhang),Reuna/kantti (edge/ledge),"Keskivartalo (core), Sormivoima (finger strength), Tekniikka (technique), Voima (power)",Kyllä,Sündenfall,Kyllä,"Ilmava, voimakas, komea",,Hänkki (overhang),"Kahva (jug), Krimppi (crimp), Reuna/kantti (edge/ledge), Pinchi (pinch), Gastoni (gaston)","Keskivartalo (core), Huukkaus (hook), Kestävyys (endurance), Psyykkinen vahvuus  (mental strength), Sormivoima (finger strength), Tekniikka (technique), Voima (power)",Ei,,,,,,,
12/17/2017 22:36:01,Kyllä,40 - 44,Mies,180,8A,Timantit ovat ikuisia,Kyllä,"fyysinen, psyykkinen, fyysinen",,Pysty (wall),Krimppi (crimp),"Keskivartalo (core), Kestävyys (endurance), Tekniikka (technique), Voima (power)",Kyllä,Highlander,Kyllä,"rare, epic, legendary","monipuolinen, korkeus ja alastulo vaativat henkistä kanttia","Släbi (slab), Pysty (wall), Hänkki (overhang)","Krimppi (crimp), Slouppi (sloper), Reuna/kantti (edge/ledge)","Huukkaus (hook), Psyykkinen vahvuus  (mental strength), Sormivoima (finger strength), Voima (power)",Ei,,,,,,,
12/17/2017 22:36:15,Kyllä,30 - 34,Mies,170,7B,Ruoska,Kyllä,"Herkkä, korkea, tekninen",,Pysty (wall),Krimppi (crimp),"Liikkuvuus (mobility), Psyykkinen vahvuus  (mental strength), Sormivoima (finger strength), Tasapaino (balance), Tekniikka (technique)",Ei,,,,,,,,,,,,,,,
12/17/2017 22:43:10,Kyllä,35 - 39,Mies,184,7A,Mumbo,Kyllä,"Helppo, turvallinen, lempeä",Joka yrkällä pääsee sentin pidemmälle,Pysty (wall),"Krimppi (crimp), Slouppi (sloper)","Liikkuvuus (mobility), Tasapaino (balance), Tekniikka (technique)",Ei,,,,,,,,,,,,,,,
12/17/2017 22:50:14,Kyllä,40 - 44,Mies,165,7B+,Kompressöör stand,Kyllä,"Tekninen, herkkä, komea","Herkät ja jännittävät muuvit,  riittävän korkea muttei liian pelottava ","Släbi (slab), Pysty (wall), Kantti (arête)","Krimppi (crimp), Slouppi (sloper), Reuna/kantti (edge/ledge), Pinchi (pinch)","Kompressio (compression), Sormivoima (finger strength), Tasapaino (balance), Tekniikka (technique)",Kyllä,George,Kyllä,"Monipuolinen, hauska, tekninen",Mielenkiintoisia kikkamuuveja alusta loppuun ,"Släbi (slab), Kantti (arête)","Krimppi (crimp), Reuna/kantti (edge/ledge)","Keskivartalo (core), Tasapaino (balance), Tekniikka (technique)",Kyllä,Block Work,Kyllä,"Tiukka, raskas, jatkuva",Komea jatkuva linja jossa täytyy keskittyä jokaiseen muuviin alusta loppuun.  ,Hänkki (overhang),Krimppi (crimp),"Keskivartalo (core), Sormivoima (finger strength), Tekniikka (technique)"
