Votes,VotedBy,Name,Grade,GradeNumeric,AreaLevel1,AreaLevel2,AreaLevel3,Crag,ApproximateLocation,Location,Latitude,Longitude,Url27crags,UrlVideo,UrlStory
7,Male,Analstacia,7A+,15,Uusimaa,Helsinki,Vihti,Rokokallio,No,"60.484207,24.476166",60.484207,24.476166,https://27crags.com/crags/rokokallio/routes/analstacia,https://www.youtube.com/watch?v=w7MLCVyLTbk,
7,Male,Ruoska,7A,14,Pirkanmaa,Tampere,Tampere,Tahmela boulder park,No,"61.496876,23.710682",61.496876,23.710682,https://27crags.com/crags/tahmela-boulder-park/routes/ruoska-10567,https://vimeo.com/109491102,
7,Both,Lemmen jättiläinen,6A+,9,Etelä-Savo,Mikkeli,Mikkeli,Ihastjärvi,No,"61.723090,27.275791",61.723090,27.275791,https://27crags.com/crags/ihastjarvi/routes/lemmen-jattilainen,https://vimeo.com/183131099,
6,Male,Grand Slam,7A,14,Pirkanmaa,Tampere,Nokia,Pinsiö,No,"61.527882,23.430898",61.527882,23.430898,https://27crags.com/crags/pinsio/routes/grand-slam,https://vimeo.com/127707483,
6,Male,Kun Jari koskee,7A,14,Uusimaa,Helsinki,Sipoo,Uusi Sipoo,No,"60.311802,25.249057",60.311802,25.249057,https://27crags.com/crags/uusi-sipoo/routes/kun-jari-koskee,https://www.youtube.com/watch?v=wSGGKyzgbIc,
3,Male,Under the radar,7A+,15,Uusimaa,Helsinki,Helsinki,Pihlajasaari,No,"60.136248,24.914932",60.136248,24.914932,https://27crags.com/crags/pihlajasaari/routes/under-the-radar,https://vimeo.com/183955607,
3,Male,Martikainen,6C+,13,Ahvenanmaan maalaiskunta,Geta,,Djupviksgrottorna,No,"60.401001,19.830999",60.401001,19.830999,https://27crags.com/crags/grottan/routes/martikainen,https://vimeo.com/43574383#t=8m55s,
2,Male,Korben Dallas,8A,20,Etelä-Savo,,,,Yes,"61.688727,27.272146",61.688727,27.272146,https://27crags.com/crags/puumala/routes/korben-dallas,https://vimeo.com/40253473#t=29s,
2,Male,Mahjongg,8A,20,Pohjois-Karjala,Joensuu,Juuka,Nunnanlahti,No,"63.136792,29.457135",63.136792,29.457135,https://27crags.com/crags/nunnanlahti/routes/mahjongg,https://www.youtube.com/watch?v=DTETTLXqvA4&t=2m0s,
2,Male,Pimp my ride,7B+,17,Lappi,Rovaniemi,Rovaniemi,Martti Servo,No,"66.380924,25.472102",66.380924,25.472102,https://27crags.com/crags/martti-servo/routes/pimp-my-ride,https://vimeo.com/6261050,
2,Male,Hammaspeikko assis,7B,16,Pirkanmaa,Tampere,Hämeenkyrö,Hammaspeikko,No,"61.521672,23.382158",61.521672,23.382158,https://27crags.com/crags/hammaspeikko/routes/hammaspeikko-28879,https://www.youtube.com/watch?v=e8jCUNhp9XY,
2,Male,Saturday night fever,7B,16,Uusimaa,Helsinki,Espoo,Soukka,No,"60.129404,24.680926",60.129404,24.680926,https://27crags.com/crags/soukka/routes/saturday-night-fever,https://vimeo.com/120869236#t=4m2s,
2,Male,Ylityö,7B,16,Pohjanmaa,Vaasa,Vaasa,Itäinen Runsori,No,"63.059121,21.775114",63.059121,21.775114,https://27crags.com/crags/itainen-runsori/routes/ylityo,https://vimeo.com/74019157,
2,Male,Comfort Zone,7A,14,Kanta-Häme,Hämeenlinna,Hämeenlinna,Palkkivehmas,No,"61.033364,24.109727",61.033364,24.109727,https://27crags.com/crags/palkkivehmas/routes/comfort-zone-10460,https://vimeo.com/162333525,
2,Male,Kuhanjulma,7A,14,Keski-Suomi,Jyväskylä,Jyväskylä,28.7,No,"62.360600,25.780899",62.360600,25.780899,https://27crags.com/crags/28-7/routes/kuhanjulma,https://vimeo.com/183106233,
2,Male,Munat,7A,14,Uusimaa,Helsinki,Helsinki,Koivusaari bloc,No,"60.161499,24.847601",60.161499,24.847601,https://27crags.com/crags/koivusaari-bloc/routes/munat,https://www.youtube.com/watch?v=vssmboAu6z4,
2,Both,Master,6C,12,Kanta-Häme,Hämeenlinna,Hämeenlinna,Palkkivehmas,No,"61.033433,24.109282",61.033433,24.109282,https://27crags.com/crags/palkkivehmas/routes/master,https://www.youtube.com/watch?v=XtkQ4XN8NdM,
1,Male,Gipsy grooves,8A,20,Varsinais-Suomi,Turku,Turku,Luolavuori,No,"60.430259,22.284683",60.430259,22.284683,https://27crags.com/crags/luolavuori-433/routes/gipsy-grooves,https://www.youtube.com/watch?v=snksRtwx-ug,
1,Male,Jäätävä polte,8A,20,Satakunta,Pori,Pori,Noormarkku,No,"61.622800,21.851335",61.622800,21.851335,https://27crags.com/crags/noormarkku/routes/jaatava-polte,https://www.youtube.com/watch?v=8HXh8f1dkb4,
1,Male,Nambla,8A,20,Lappi,Rovaniemi,Rovaniemi,Hiidenkirnut,No,"66.401671,25.453077",66.401671,25.453077,https://27crags.com/crags/hiidenkirnut/routes/nambla,https://vimeo.com/54803924#t=7m22s,
1,Male,One For Sorrow,8A,20,Uusimaa,Helsinki,Sipoo,Kito face,No,"60.237191,25.447020",60.237191,25.447020,https://27crags.com/crags/kito-face/routes/one-for-sorrow,https://vimeo.com/165581098#t=1m48s,
1,Male,Painajainen assis,8A,20,Pirkanmaa,Tampere,Nokia,Killeri,No,"61.505317,23.355541",61.505317,23.355541,https://27crags.com/crags/killerin-kivet-pinsio/routes/painajainen-assis,https://vimeo.com/43131715,
1,Male,Paskapäivä,8A,20,Ahvenanmaan maalaiskunta,Geta,,Djupviksgrottorna,No,"60.399364,19.830805",60.399364,19.830805,https://27crags.com/crags/grottan/routes/paskapaiva,https://vimeo.com/40316813#t=1m1s,
1,Male,Gods of rain,7C+,19,Pirkanmaa,Tampere,Lempäälä,Kaukalokallio,No,"61.388340,23.858234",61.388340,23.858234,https://27crags.com/crags/kaukalokallio/routes/gods-of-rain,https://vimeo.com/167167200,
1,Male,Isildur assis,7C+,19,Uusimaa,,,,Yes,"60.169856,24.938379",60.169856,24.938379,https://27crags.com/crags/sipoo/routes/isildur-assis,https://vimeo.com/167394475,
1,Male,Molester,7C+,19,Etelä-Karjala,,,,Yes,"61.054993,28.189663",61.054993,28.189663,https://27crags.com/crags/puumala/routes/molester,https://vimeo.com/97042869#t=1m27s,
1,Female,Nakit ja muusi,7C+,19,Keski-Suomi,Jyväskylä,Jyväskylä,Forte,No,"62.110600,25.776300",62.110600,25.776300,https://27crags.com/crags/forte/routes/nakit-ja-muusi,https://vimeo.com/172892398#t=2m,
1,Male,On se kova,7C+,19,Kanta-Häme,,,,Yes,"60.992879,24.459024",60.992879,24.459024,https://27crags.com/crags/hameenlinna/routes/on-se-kova,https://vimeo.com/81759275#t=2m4s,
1,Male,Sirkus,7C+,19,Pohjanmaa,Vaasa,Vaasa,Hautuumaa,No,"63.066181,21.728250",63.066181,21.728250,https://27crags.com/crags/hautuumaa/routes/sirkus,https://vimeo.com/55008969,
1,Male,Why walk when you can run,7C+,19,Etelä-Savo,,,,Yes,"61.688727,27.272146",61.688727,27.272146,https://27crags.com/crags/roof-x/routes/why-walk-when-you-can-run,https://vimeo.com/81759275#t=32s,
1,Male,Kompressöör,7C,18,Uusimaa,Helsinki,Sipoo,Uusi Sipoo,No,"60.314634,25.243150",60.314634,25.243150,https://27crags.com/crags/uusi-sipoo/routes/kompressoor,https://www.youtube.com/watch?v=GpKmlCoPpr8,
1,Male,Matahari,7C,18,Varsinais-Suomi,Turku,Turku,Luolavuori,No,"60.430259,22.284683",60.430259,22.284683,https://27crags.com/crags/luolavuori-433/routes/matahari,https://www.youtube.com/watch?v=ai2t8vpjvzg,
1,Female,Melankolia ss,7C,18,Uusimaa,Helsinki,Vantaa,Mellunmäki boulders,No,"60.239101,25.124599",60.239101,25.124599,https://27crags.com/crags/mellunmaki-boulders/routes/melankolia-ss,https://vimeo.com/91110827#t=5m20s,
1,Male,Normandia,7C,18,Pirkanmaa,Tampere,Nokia,Pinsiö,No,"61.527166,23.431199",61.527166,23.431199,https://27crags.com/crags/pinsio/routes/normandia,https://vimeo.com/76889725,
1,Male,Painajainen,7C,18,Pirkanmaa,Tampere,Nokia,Killeri,No,"61.505317,23.355541",61.505317,23.355541,https://27crags.com/crags/killerin-kivet-pinsio/routes/painajainen-66031,https://vimeo.com/168197223,
1,Male,Rocky Horror Show,7C,18,Uusimaa,,,,Yes,"60.169856,24.938379",60.169856,24.938379,https://27crags.com/crags/8174/routes/rocky-horror-show,,
1,Male,Työväen boulder,7C,18,Etelä-Savo,Mikkeli,Mikkeli,Työväenboulder,No,"61.657299,27.203699",61.657299,27.203699,https://27crags.com/crags/tyovaenboulder/routes/tyovaen-boulder,https://www.youtube.com/watch?v=xugI13ojCOE,
1,Female,Asento-opas,7B+,17,Uusimaa,Loviisa,Loviisa,Grevböle,No,"60.402779,26.169495",60.402779,26.169495,https://27crags.com/crags/grevbole/routes/asento-opas,https://vimeo.com/166842190,
